time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-03T18:53:24.460Z,18.1781,-76.6163,14.19,4,mb,,44,1.937,1.02,us,us2000dbs6,2018-05-27T01:06:11.040Z,"6km WSW of Hope Bay, Jamaica",earthquake,3.3,5.1,0.15,12,reviewed,us,us
2018-02-17T00:25:16.300Z,18.8249,-73.6083,12.44,4.6,mb,,37,1.276,0.83,us,us2000d3lu,2018-05-15T06:29:11.040Z,"34km NNW of Petit Trou de Nippes, Haiti",earthquake,5.5,4.4,0.036,228,reviewed,us,us
2018-02-09T17:43:37.190Z,18.6315,-61.9765,43.36,5.2,mww,,26,1.192,0.75,us,us2000czp4,2018-05-03T22:15:06.040Z,"111km N of Codrington, Barbuda",earthquake,6,3.8,0.086,13,reviewed,us,us
2018-02-09T16:50:05.880Z,19.1077,-64.8714,24.29,4.5,mwr,,142,1.334,1.18,us,us2000czm4,2018-05-03T22:15:06.040Z,"81km NNW of Road Town, British Virgin Islands",earthquake,4.6,4.7,0.048,42,reviewed,us,us
2018-01-30T04:02:22.350Z,17.3939,-62.4381,99.04,4.2,mb,,136,1.274,0.45,us,us2000cr6u,2018-04-25T01:39:36.040Z,"30km ENE of Monkey Hill, Saint Kitts and Nevis",earthquake,9.4,12.8,0.152,12,reviewed,us,us
2018-01-28T12:19:52.870Z,18.6211,-69.3789,92.42,4.3,mb,,114,0.952,0.6,us,us2000cqmi,2018-04-20T07:05:34.040Z,"7km NNE of Quisqueya, Dominican Republic",earthquake,5.5,10.8,0.119,20,reviewed,us,us
2018-01-22T13:58:02.290Z,16.4186,-83.2736,10,4.5,mb,,49,3.962,0.72,us,us2000cmgb,2018-04-20T07:05:07.040Z,"127km ENE of Barra Patuca, Honduras",earthquake,7.5,1.9,0.071,58,reviewed,us,us
2018-01-21T15:22:30.520Z,18.9435,-80.5555,8.76,4,mb,,49,2.952,1.04,us,us2000cm51,2018-04-10T01:11:50.040Z,"71km SE of East End, Cayman Islands",earthquake,5.1,6.9,0.134,15,reviewed,us,us
2018-01-21T00:55:02.510Z,17.5294,-83.3295,10,4,mb,,56,4.789,0.6,us,us2000cm0b,2018-04-10T01:11:49.040Z,"65km E of Great Swan Island, Honduras",earthquake,7.4,2,0.098,28,reviewed,us,us
2018-01-19T16:30:29.250Z,18.5814,-62.306,43.01,4.3,mb,,238,0.901,0.8,us,us2000cl8f,2018-04-10T01:11:47.040Z,"86km ENE of Stoney Ground, Anguilla",earthquake,10.6,13,0.376,2,reviewed,us,us
2018-01-16T05:46:26.480Z,17.508,-84.0602,10,4.3,mb,,78,4.619,0.91,us,us2000cjv0,2018-04-10T01:11:41.040Z,"16km NW of Great Swan Island, Honduras",earthquake,3.9,2,0.065,66,reviewed,us,us
2018-01-14T23:02:13.190Z,17.4275,-83.8025,10,4.2,mb,,110,5.069,1.05,us,us2000cpwv,2018-04-03T01:40:31.040Z,"13km E of Great Swan Island, Honduras",earthquake,3.2,2,0.159,11,reviewed,us,us
2018-01-14T10:44:09.980Z,17.4561,-83.2427,10,4.1,mb,,47,4.777,1.26,us,us2000cjhw,2018-04-03T01:40:30.040Z,"73km E of Great Swan Island, Honduras",earthquake,7.2,1.3,0.165,10,reviewed,us,us
